L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
6.582511017607885151e+00,8.683497796478422970e+01,6.582511017607885151e+00
1.694852135274066640e+01,6.718664436552114694e+01,1.586483428173818311e+01
2.403115743633179591e+01,5.253056156293894219e+01,2.343828100072925835e+01
2.693137145949201638e+01,4.681157469334181087e+01,2.625705384716617274e+01
3.026501247183393772e+01,3.856842514360850060e+01,3.116656238455755457e+01
3.227129446615207797e+01,3.689151683103290935e+01,3.083718870281501268e+01
3.832673170674820540e+01,2.860405338831530742e+01,3.306921490493648719e+01
4.052359512048542456e+01,2.634251376065745021e+01,3.313389111885712879e+01
4.674530623990344935e+01,1.893388455931404835e+01,3.432080920078251296e+01
4.712943595525170082e+01,2.084964157753088188e+01,3.202092246721741731e+01
4.785064735790496826e+01,2.211088636981064326e+01,3.003846627228439203e+01
4.948155951479582626e+01,2.086974477101510317e+01,2.964869571418907768e+01
4.963298045950202919e+01,2.258401744832032776e+01,2.778300209217763594e+01
5.601669801468389664e+01,1.641216760199133162e+01,2.757113438332477173e+01
5.540124954799077983e+01,1.841602543656111024e+01,2.618272501544809927e+01
5.567014497929505978e+01,1.965959363953247774e+01,2.467026138117246958e+01
5.569686683230116842e+01,1.971124426261903295e+01,2.459188890507979863e+01
5.788586255933171287e+01,1.836953977627445411e+01,2.374459766439382236e+01
6.000788511069285391e+01,1.785305481355122481e+01,2.213906007575591772e+01
6.243142347586117324e+01,1.613187021867114979e+01,2.143670630546767697e+01
6.391163749728919896e+01,1.517411694976446590e+01,2.091424555294632270e+01
6.719671020903848557e+01,1.294242480477182333e+01,1.986086498618967866e+01
6.811216346594387971e+01,1.338505421642062743e+01,1.850278231763548220e+01
6.814442879725758928e+01,1.454513451984116301e+01,1.731043668290122284e+01
6.801223412951365788e+01,1.574725868126019712e+01,1.624050718922613612e+01
7.076058280282359192e+01,1.361556641769679032e+01,1.562385077947959822e+01
7.004625075488391417e+01,1.530192739180554717e+01,1.465182185331052445e+01
7.058533473992538632e+01,1.576353940332321635e+01,1.365112585675137602e+01
7.194499680304652145e+01,1.529945654809904987e+01,1.275554664885441092e+01
7.379492197978855472e+01,1.433679503877435657e+01,1.186828298143707627e+01
