L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
2.083000269735783050e+01,5.436826318802618374e+01,2.480173411461598221e+01
2.913411764332633425e+01,3.504287975713238268e+01,3.582300259954127597e+01
3.360665219674054782e+01,2.940765848904204915e+01,3.698568931421739592e+01
3.734330935562942955e+01,2.135738405126386752e+01,4.129930659310669228e+01
3.817005356947301209e+01,2.136934753551200217e+01,4.046059889501497508e+01
3.852009057708279727e+01,2.102465639840304235e+01,4.045525302451414262e+01
3.855200390176002401e+01,2.070698073734129707e+01,4.074101536089866471e+01
3.914663062086280831e+01,2.179257708403075000e+01,3.906079229510641682e+01
4.021399097969966618e+01,2.331154545951155299e+01,3.647446356078876306e+01
4.006104674976998581e+01,2.044073890327672061e+01,3.949821434695326872e+01
3.897398222650176081e+01,2.426995907383578910e+01,3.675605869966243233e+01
4.084393249941765447e+01,2.196289791537750702e+01,3.719316958520481364e+01
4.203770189229736332e+01,2.051295784435789926e+01,3.744934026334470900e+01
4.423922204922936885e+01,1.937963921541743773e+01,3.638113873535316856e+01
4.815643428407793181e+01,1.551671900431205131e+01,3.632684671160998136e+01
4.975916254855590637e+01,1.380849129350201743e+01,3.643234615794204245e+01
4.926057148736919800e+01,1.689839614830101411e+01,3.384103236432975592e+01
4.983074563640702337e+01,1.771573468475385482e+01,3.245351967883908628e+01
4.903778992551345794e+01,2.027433466154805686e+01,3.068787541293845678e+01
5.091884473704971725e+01,1.746845565722518856e+01,3.161269960572506577e+01
5.158313888664176972e+01,1.525478070857868573e+01,3.316208040477951613e+01
5.397181992459888278e+01,1.000832921267153353e+01,3.601985086272956238e+01
5.407442947575236758e+01,1.186661323975602578e+01,3.405895728449158355e+01
5.585594737856393976e+01,1.275307700258474775e+01,3.139097561885128584e+01
5.541502863354244113e+01,1.530802565355009115e+01,2.927694571290744463e+01
5.620362069934122218e+01,1.487003948503962825e+01,2.892633981561911938e+01
5.667533359696707151e+01,1.655336197963843503e+01,2.677130442339447924e+01
5.811946552120145526e+01,1.743041847209341100e+01,2.445011600670511243e+01
5.731390606106871388e+01,1.895052651182877312e+01,2.373556742710249168e+01
5.627811110969144437e+01,2.035660839389881360e+01,2.336528049640971361e+01
