L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.545062511309578945e-01,6.909874977380842109e-01,1.545062511309578945e-01
3.964313812212050259e-01,2.488208667601370938e-01,3.547477520186578803e-01
4.063562452473201692e-01,2.428259066916424180e-01,3.508178480610373851e-01
4.102607521035310789e-01,2.432482328677564587e-01,3.464910150287124901e-01
4.258273947501470258e-01,2.041357380721817161e-01,3.700368671776712581e-01
4.690569124777568266e-01,1.569925739001047371e-01,3.739505136221383252e-01
4.786045060239513260e-01,1.650152256994900923e-01,3.563802682765585539e-01
5.490894380207003156e-01,8.979284867017506278e-02,3.611177133091245661e-01
5.371295758922548513e-01,1.180394563293967469e-01,3.448309677783483185e-01
5.262039980501004299e-01,1.346561868451031374e-01,3.391398151047964604e-01
5.312458500904337910e-01,1.301283830686432996e-01,3.386257668409229371e-01
5.666330516781080684e-01,1.145145286525015155e-01,3.188524196693904855e-01
5.731740077445071080e-01,1.203860221083394855e-01,3.064399701471535176e-01
5.799852850178223163e-01,1.256788283069453782e-01,2.943358866752323610e-01
5.948785973120687132e-01,1.072870511746319144e-01,2.978343515132994002e-01
6.096214607013464848e-01,1.137188409970797953e-01,2.766596983015737199e-01
6.241775530254023430e-01,1.145530590049457925e-01,2.612693879696518784e-01
6.193103583610269913e-01,1.279028758361478446e-01,2.527867658028252196e-01
6.323538578179641600e-01,1.253268217962300313e-01,2.423193203858058364e-01
6.611019088879401817e-01,9.444213434809074770e-02,2.444559567639691400e-01
6.758701722094778708e-01,8.999540098136611654e-02,2.341344268091560821e-01
7.154254004986178028e-01,6.230762558398727363e-02,2.222669739173950276e-01
7.083476411847882126e-01,7.756288332778356331e-02,2.140894754874284323e-01
6.973464102119406594e-01,9.989003374737585872e-02,2.027635560406836623e-01
7.318181121180118431e-01,7.646610916833153360e-02,1.917157787136566371e-01
7.356826080530910472e-01,7.970547288627498339e-02,1.846119190606339555e-01
7.384262614432682836e-01,8.442444195589272893e-02,1.771492966008390846e-01
7.370987165275046937e-01,8.911362072324525985e-02,1.737876627492502823e-01
7.371347270938538587e-01,8.751234457146933599e-02,1.753529283346768886e-01
7.361453008308402879e-01,9.265112575237172132e-02,1.712035734167879075e-01
7.453535980292838037e-01,9.265913862695432379e-02,1.619872633437619003e-01
7.705631459690682750e-01,7.144469320662494294e-02,1.579921608243067821e-01
7.713699145773245114e-01,8.117209605227752867e-02,1.474579893703979183e-01
7.684438153029232721e-01,9.056493687076766497e-02,1.409912478263089797e-01
7.777252154818796726e-01,8.909503050823626424e-02,1.331797540098839938e-01
7.825570644279473687e-01,8.814476978326336865e-02,1.292981657887893321e-01
7.917124267685343719e-01,8.525438473312485499e-02,1.230331884983407453e-01
7.878496133159290649e-01,9.464239011891556475e-02,1.175079965651553981e-01
8.080495850028849292e-01,7.642847510305045278e-02,1.155219398940646180e-01
8.043025005985674492e-01,8.505719318573114196e-02,1.106403062157014366e-01
7.926170681601619750e-01,1.007181777931222544e-01,1.066647540467158400e-01
7.839306684294681249e-01,1.142401443657333482e-01,1.018291872047985824e-01
7.743999699370098799e-01,1.250735427416656553e-01,1.005264873213245619e-01
8.058548453061780137e-01,9.809815120917481091e-02,9.604700348464727255e-02
8.067754991231099737e-01,8.953804325426278909e-02,1.036864576226273482e-01
7.831267492642380867e-01,1.196886014564890049e-01,9.718464927927301933e-02
7.886590521591902991e-01,1.176336580774792334e-01,9.370728976333062010e-02
8.081905332399670350e-01,9.512563765581441566e-02,9.668382910421881304e-02
7.882145713880429616e-01,1.211446905479058589e-01,9.064073806405144318e-02
8.034395526661672893e-01,1.092743401373531820e-01,8.728610719647969529e-02
7.802543917298343512e-01,1.348228937428428420e-01,8.492271452732280679e-02
8.074180121774623409e-01,9.960176643703627652e-02,9.298022138550145199e-02
7.875089775169444861e-01,1.233826239164427796e-01,8.910839856661270653e-02
7.711329244622346923e-01,1.435850523142235824e-01,8.528202322354180853e-02
7.680498498365495585e-01,1.422700527563662554e-01,8.968009740708424160e-02
7.772754613760826103e-01,1.343516745948857283e-01,8.837286402903171689e-02
7.628151705500068047e-01,1.412593004328144553e-01,9.592552901717885105e-02
7.750389517154273600e-01,1.286766054489320854e-01,9.628444283564062400e-02
7.862890713103850571e-01,1.177549880067072646e-01,9.595594068290774770e-02
7.737608310011934165e-01,1.307145431459313945e-01,9.552462585287518904e-02
7.673664881397844750e-01,1.386564410696753402e-01,9.397707079054015700e-02
7.425775396422641395e-01,1.649449344758231184e-01,9.247752588191274215e-02
7.745050851778262357e-01,1.302467199280065713e-01,9.524819489416720686e-02
7.835062674530084426e-01,1.257008768437556656e-01,9.079285570323589183e-02
8.296646252036079527e-01,7.425601793007952089e-02,9.607935686631256800e-02
7.977739943503227016e-01,1.127834449412380979e-01,8.944256070843936701e-02
8.103981110989315617e-01,1.017411439477115404e-01,8.786074495335695345e-02
8.044944649697938210e-01,1.066439706414662458e-01,8.886156438874009966e-02
7.637751818369958867e-01,1.469090615608167893e-01,8.931575660218742108e-02
7.305691237740858934e-01,1.781083760924569437e-01,9.132250013345732942e-02
7.341687584362273089e-01,1.622277730236642845e-01,1.036034685401085453e-01
7.098985478743616850e-01,1.861998921248764205e-01,1.039015600007618667e-01
6.987122366672376961e-01,1.873940490809745951e-01,1.138937142517877643e-01
6.470675257227433974e-01,2.374415754486981223e-01,1.154908988285585081e-01
6.970020659487654591e-01,1.839116335769703514e-01,1.190863004742642173e-01
6.585116893088944767e-01,2.177309622275986345e-01,1.237573484635070692e-01
6.222482660222599105e-01,2.442712420862929723e-01,1.334804918914471727e-01
6.104060593622242514e-01,2.410607148498581376e-01,1.485332257879175832e-01
5.706880976757877644e-01,2.479491337664143646e-01,1.813627685577979542e-01
6.310132589192961605e-01,1.600646590965883187e-01,2.089220819841156040e-01
5.951267973196409100e-01,2.077122913903662327e-01,1.971609112899929406e-01
5.984619044588890269e-01,1.769452079623816121e-01,2.245928875787294166e-01
5.416425474613703051e-01,2.312340440667409736e-01,2.271234084718887769e-01
5.270548472375632398e-01,2.219067262968529852e-01,2.510384264655838304e-01
4.844114861812836570e-01,2.453807117248883174e-01,2.702078020938281089e-01
4.649253542388750993e-01,2.637092644035596289e-01,2.713653813575653273e-01
4.501673569600905256e-01,2.697345402092682365e-01,2.800981028306414045e-01
4.649912424020029023e-01,2.262883104890665575e-01,3.087204471089307067e-01
4.414973024769070498e-01,2.532737284498959851e-01,3.052289690731970762e-01
3.789080356544977102e-01,3.206091713938751253e-01,3.004827929516272755e-01
3.766863422619739499e-01,2.734089611008851395e-01,3.499046966371409662e-01
